user, technique, session, word, rank, len, class, correct, gesture_durations, selection_durations, sample_distance, start_distance, end_distance, middle_distance, confused_distance, gesture_length, gesture_speed
gyz, normal, 1, big, 1, 3, Match, Yes, 1.0623, 0, 0.443363261718, 0.213805534676, 0.78212380327, 0.476243542564, 0.824125492952, 5.9628446477, 5.61314567232
gyz, normal, 1, pile, 1, 4, Match, Yes, 1.4769, 0, 0.261273809375, 0.436904845448, 0.2629586641, 0.261887022672, 0.548382094196, 9.85788950253, 6.67471697646
gyz, normal, 1, effort, 1, 6, Match, Yes, 2.572, 0, 0.216751253034, 0.285187290132, 0.271092900305, 0.215172022484, 0.252871236294, 12.6024131222, 4.89984958095
gyz, normal, 1, is, 1, 2, Match, Yes, 0.7634, 0, 0.161602306477, 0.232901247581, 0.0622687995709, 0.140783491648, 0.267791884588, 5.92128362817, 7.75646270392
gyz, normal, 1, what, 1, 4, Match, Yes, 1.7257, 0, 0.261504184689, 0.319715932456, 0.27739457264, 0.287661536351, 0.475522551048, 13.5045011344, 7.82552073616
gyz, normal, 1, it, 1, 2, Match, Yes, 0.531, 0, 0.240078425051, 0.066263324494, 0.213283964163, 0.195164226068, 0.460111237238, 3.15234655682, 5.93662251755
gyz, normal, 1, will, 2, 4, Select, Yes, 1.228, 1.311, 0.33047741472, 0.316039566449, 0.265403658884, 0.396446749009, 0.311121323671, 8.0062950643, 6.51978425432
gyz, normal, 1, take, 1, 4, Match, Yes, 2.572, 0, 0.187350999964, 0.285682050001, 0.142922612976, 0.168612556524, 0.351766362246, 16.0075013518, 6.22375635763
gyz, normal, 1, construction, 1, 12, Match, Yes, 4.4633, 0, 0.346307493941, 0.133463939587, 0.356081383535, 0.356538171216, 0.69532252682, 32.2326638094, 7.22171124714
gyz, normal, 1, makes, 2, 5, Select, Yes, 2.0742, 2.6715, 0.375148268061, 0.39554145217, 0.416132746586, 0.487478163714, 0.189604548481, 20.0747926106, 9.67833025291
gyz, normal, 1, traveling, 1, 9, Match, Yes, 4.2811, 0, 0.446133842164, 0.197445004677, 0.256374546266, 0.478360407728, 0.941199402778, 23.4487723709, 5.4772774219
gyz, normal, 1, difficult, 1, 9, Match, Yes, 3.4175, 0, 0.318774103418, 0.966612752101, 0.167509667163, 0.325457974765, 0.482621477498, 25.6448039555, 7.50396604403
gyz, normal, 1, my, 1, 2, Match, Yes, 0.5974, 0, 0.240295913625, 0.348554405584, 0.192358301971, 0.296428940748, 0.833929992307, 2.58477504235, 4.32670746962
gyz, normal, 1, favorite, 1, 8, Match, Yes, 3.1855, 0, 0.245611303366, 0.143013849357, 0.0382099756739, 0.222372208267, 1.02839499107, 26.3961651823, 8.28634913902
gyz, normal, 1, subject, 1, 7, Match, Yes, 2.837, 0, 0.493976154034, 0.114510432101, 0.125163206175, 0.563633425419, 0.722064477993, 17.4418695044, 6.1479977104
gyz, normal, 1, is, 1, 2, Match, Yes, 0.647, 0, 0.254108355312, 0.11939438135, 0.217175272628, 0.20663215031, 0.430158879624, 5.91686409439, 9.14507588004
gyz, normal, 1, psychology, 1, 10, Match, Yes, 4.5465, 0, 0.895182589462, 0.50854764571, 0.0672775404574, 1.02730938702, 1.13548414928, 27.6581815058, 6.08340074911
gyz, normal, 2, people, 1, 6, Match, Yes, 2.1572, 0, 0.376550408759, 0.0512679212081, 0.245671127447, 0.471209435124, 0.468096455953, 23.3163489097, 10.8086171471
gyz, normal, 2, blow, 1, 4, Match, Yes, 2.0579, 0, 0.188518015914, 0.249325576668, 0.0661269879626, 0.188810816448, 0.337022433357, 11.6954330509, 5.68318822628
gyz, normal, 2, their, 1, 5, Match, Yes, 1.9084, 0, 0.231968700461, 0.118232660873, 0.112827161136, 0.26907951273, 0.57605395937, 15.5447229632, 8.14542180002
gyz, normal, 2, horn, 1, 4, Match, Yes, 1.61, 0, 0.174291598892, 0.240685089659, 0.35604010413, 0.194720887002, 0.76353270531, 11.9053813255, 7.39464678605
gyz, normal, 2, a, 1, 1, Match, Yes, 0.0497, 0, 0.178714989009, 0.224100851174, 0.224100851174, 0.224100851174, 0.268813806038, 0, 0.0
gyz, normal, 2, lot, 1, 3, Match, Yes, 0.8629, 0, 0.186474144934, 0.246962817535, 0.173283258386, 0.191344644329, 0.364932643523, 5.15261297915, 5.97127474695
gyz, normal, 2, it, 1, 2, Match, Yes, 0.4978, 0, 0.343665499054, 0.219327344342, 0.395365824735, 0.30218566937, 0.430052920751, 3.21904165093, 6.46653606053
gyz, normal, 2, is, 1, 2, Match, Yes, 0.7465, 0, 0.144168608483, 0.125504215041, 0.0967852455904, 0.134960683615, 0.263303293306, 5.65067801595, 7.56956197716
gyz, normal, 2, difficult, 1, 9, Match, Yes, 3.8989, 0, 0.404285101974, 0.0917683031607, 0.25184192698, 0.44671465457, 0.717538113148, 29.3845395901, 7.53662304498
gyz, normal, 2, to, 1, 2, Match, Yes, 0.6966, 0, 0.205987646439, 0.279798020668, 0.362999893251, 0.190261900199, 0.205987646439, 3.50192453096, 5.02716699822
gyz, normal, 2, concentrate, 1, 11, Match, Yes, 4.5952, 0, 0.78793981758, 0.236288028891, 0.209059977198, 0.870558593371, 0.995859660909, 33.5613778308, 7.30357282182
gyz, normal, 2, elephants, 1, 9, Match, Yes, 3.8161, 0, 0.282332075508, 0.219956998457, 0.127515683902, 0.304774219994, 1.09359088529, 40.9861700539, 10.740329146
gyz, normal, 2, are, 1, 3, Match, Yes, 0.6139, 0, 0.190086533638, 0.253530885339, 0.239706587204, 0.201536829607, 0.372106274696, 3.07525024372, 5.00936674331
gyz, normal, 2, afraid, 1, 6, Match, Yes, 2.4054, 0, 0.308122919442, 0.171026535909, 0.155953815118, 0.296538740691, 0.589536837038, 16.2519306531, 6.75643579158
gyz, normal, 2, of, 1, 2, Match, Yes, 0.4977, 0, 0.323681396175, 0.601218298229, 0.355205591917, 0.331798139407, 0.323681396175, 3.76692395508, 7.56866376346
gyz, normal, 2, mice, 1, 4, Match, Yes, 1.4444, 0, 0.530347006919, 0.27393098483, 0.23082202519, 0.524197303872, 0.56175223252, 9.08386206224, 6.28902108989
gyz, normal, 2, destruction, 1, 11, Match, Yes, 4.131, 0, 0.234444104052, 0.0323334712643, 0.364870480659, 0.259689640555, 0.905658246628, 23.0565145867, 5.58133976923
gyz, normal, 2, of, 1, 2, Match, Yes, 0.6803, 0, 0.211917749208, 0.153472598212, 0.390348229544, 0.212083237699, 0.211917749208, 4.60774045589, 6.77310077302
gyz, normal, 2, the, 1, 3, Match, Yes, 1.0951, 0, 0.0945458941937, 0.247779727429, 0.0340052000288, 0.0875928911708, 0.178786474892, 5.58321209813, 5.09835823041
gyz, normal, 2, rain, 1, 4, Match, Yes, 1.8249, 0, 0.225865221376, 0.256636116657, 0.104910207211, 0.228541750284, 0.411400181312, 12.1875529914, 6.67847717214
gyz, normal, 2, forest, 1, 6, Match, Yes, 2.1071, 0, 0.296558368604, 0.226445024344, 0.604731888576, 0.32150201132, 0.482963770947, 14.7271870104, 6.98931565202
gyz, normal, 2, my, 1, 2, Match, Yes, 0.6638, 0, 0.29330052951, 0.162270211022, 0.287282144416, 0.351570814157, 0.768935780383, 2.96991734171, 4.4741147058
gyz, normal, 2, preferred, 2, 9, Select, Yes, 3.5009, 2.1899, 0.54412669193, 0.521751958498, 0.159207640979, 0.690926919914, 0.5341644241, 15.2902423379, 4.36751759203
gyz, normal, 2, treat, 1, 5, Match, Yes, 3.1187, 0, 0.254320517589, 0.209428328287, 0.13365676663, 0.227693940208, 0.400240655718, 7.41689582401, 2.37820111713
gyz, normal, 2, is, 1, 2, Match, Yes, 0.7301, 0, 0.1497923164, 0.234905940751, 0.380110832619, 0.122098559874, 0.368083970249, 5.8698139647, 8.03973971332
gyz, normal, 2, chocolate, 1, 9, Match, Yes, 4.0479, 0, 0.583398537936, 0.0471343783029, 0.196358068663, 0.675551505244, 0.877446768608, 31.275400321, 7.72632731071
gyz, normal, 2, the, 1, 3, Match, Yes, 0.9289, 0, 0.2515156451, 0.316687132268, 0.298892515519, 0.283775472863, 0.331298118117, 5.37816687995, 5.78982331785
gyz, normal, 2, sum, 2, 3, Select, Yes, 1.2275, 2.1066, 0.241148892939, 0.137599890818, 0.950667069708, 0.255272296461, 0.120924972341, 6.32489560583, 5.15266444467
gyz, normal, 2, of, 1, 2, Match, Yes, 1.2273, 0, 0.153744885768, 0.227982823741, 0.156993177256, 0.190518519444, 0.153744885768, 4.54346161077, 3.70199756439
gyz, normal, 2, the, 2, 3, Select, Yes, 0.9955, 1.1611, 0.194521686136, 0.304695546965, 0.174122104427, 0.199231044856, 0.181802030061, 5.75263531128, 5.77863918763
gyz, normal, 2, parts, 1, 5, Match, Yes, 2.9524, 0, 0.399636543329, 0.128790682776, 0.230444499359, 0.399533214386, 0.46096295988, 14.9523411201, 5.06446996345
gyz, normal, 2, you, 1, 3, Match, Yes, 0.7468, 0, 0.149317301345, 0.188807672153, 0.0695113139856, 0.133809737604, 0.380706261803, 4.86795331279, 6.51841632672
gyz, normal, 2, will, 1, 4, Select, Yes, 1.1445, 2.1893, 0.310630035074, 0.563020668904, 0.0876124267099, 0.36495483803, 0.315534304104, 7.3743981818, 6.44333611341
gyz, normal, 2, loose, 1, 5, Select, Yes, 2.1558, 1.3764, 0.150141631762, 0.141339389676, 0.100641436337, 0.157002883186, 0.150141631762, 9.15819516276, 4.24816548973
