technique, word, len, class, correct, gesture_durations, selection_durations, sample_distance, start_distance, end_distance, gesture_length, gesture_speed
normal, their, 5, Select, Yes, 1.9084, 0.0, 0.0391827733146, 0.118232660873, 0.112827161136, 15.5447229632, 8.14542180002
normal, horn, 4, Select, Yes, 1.61, 0.0, 0.0511626263392, 0.240685089659, 0.35604010413, 11.9053813255, 7.39464678605
normal, a, 1, Select, Yes, 0.0497, 0.0, 0.0, 0.224100851174, 0.224100851174, 0, 0.0
normal, lot, 3, Select, Yes, 0.8629, 0.0, 0.0336443467047, 0.246962817535, 0.173283258386, 5.15261297915, 5.97127474695
normal, it, 2, Select, Yes, 0.4978, 0.0, 6.28893426236e-05, 0.219327344342, 0.395365824735, 3.21904165093, 6.46653606053
normal, is, 2, Select, Yes, 0.7465, 0.0, 0.0011940232052, 0.125504215041, 0.0967852455904, 5.65067801595, 7.56956197716
normal, difficult, 9, Select, Yes, 3.8989, 0.0, 0.117897770385, 0.0917683031607, 0.25184192698, 29.3845395901, 7.53662304498
normal, to, 2, Select, Yes, 0.6966, 0.0, 0.0140124515356, 0.279798020668, 0.362999893251, 3.50192453096, 5.02716699822
normal, concentrate, 11, Select, Yes, 4.5952, 0.0, 0.059253442206, 0.236288028891, 0.209059977198, 33.5613778308, 7.30357282182
normal, elephants, 9, Select, Yes, 3.8161, 0.0, 0.355601112815, 0.219956998457, 0.127515683902, 40.9861700539, 10.740329146
normal, are, 3, Select, Yes, 0.6139, 0.0, 0.00623001458839, 0.253530885339, 0.239706587204, 3.07525024372, 5.00936674331
normal, afraid, 6, Select, Yes, 2.4054, 0.0, 0.0564189019374, 0.171026535909, 0.155953815118, 16.2519306531, 6.75643579158
normal, of, 2, Select, Yes, 0.4977, 0.0, 0.00116437095795, 0.601218298229, 0.355205591917, 3.76692395508, 7.56866376346
normal, mice, 4, Select, Yes, 1.4444, 0.0, 0.0306658751778, 0.27393098483, 0.23082202519, 9.08386206224, 6.28902108989
normal, destruction, 11, Select, Yes, 4.131, 0.0, 0.198266619681, 0.0323334712643, 0.364870480659, 23.0565145867, 5.58133976923
normal, of, 2, Select, Yes, 0.6803, 0.0, 0.00231138486561, 0.153472598212, 0.390348229544, 4.60774045589, 6.77310077302
normal, the, 3, Select, Yes, 1.0951, 0.0, 0.0188996680465, 0.247779727429, 0.0340052000288, 5.58321209813, 5.09835823041
normal, rain, 4, Select, Yes, 1.8249, 0.0, 0.0315370753749, 0.256636116657, 0.104910207211, 12.1875529914, 6.67847717214
normal, forest, 6, Select, Yes, 2.1071, 0.0, 0.050165011566, 0.226445024344, 0.604731888576, 14.7271870104, 6.98931565202
normal, my, 2, Select, Yes, 0.6638, 0.0, 0.00300062100372, 0.162270211022, 0.287282144416, 2.96991734171, 4.4741147058
normal, preferred, 9, Match, Yes, 3.5009, 0, 0.185344023393, 0.521751958498, 0.159207640979, 15.2902423379, 4.36751759203
normal, treat, 5, Select, Yes, 3.1187, 0.0, 0.0131981438048, 0.209428328287, 0.13365676663, 7.41689582401, 2.37820111713
normal, is, 2, Select, Yes, 0.7301, 0.0, 0.0219991553929, 0.234905940751, 0.380110832619, 5.8698139647, 8.03973971332
normal, chocolate, 9, Select, Yes, 4.0479, 0.0, 0.0926213951364, 0.0471343783029, 0.196358068663, 31.275400321, 7.72632731071
normal, the, 3, Select, Yes, 0.9289, 0.0, 0.00226000825619, 0.316687132268, 0.298892515519, 5.37816687995, 5.78982331785
normal, sum, 3, Match, Yes, 1.2275, 0, 0.0563758415448, 0.137599890818, 0.950667069708, 6.32489560583, 5.15266444467
normal, of, 2, Select, Yes, 1.2273, 0.0, 5.58280607682e-05, 0.227982823741, 0.156993177256, 4.54346161077, 3.70199756439
normal, the, 3, Match, Yes, 0.9955, 0, 0.0326027600431, 0.304695546965, 0.174122104427, 5.75263531128, 5.77863918763
normal, parts, 5, Select, Yes, 2.9524, 0.0, 0.0570545967454, 0.128790682776, 0.230444499359, 14.9523411201, 5.06446996345
normal, you, 3, Select, Yes, 0.7468, 0.0, 0.0212340555838, 0.188807672153, 0.0695113139856, 4.86795331279, 6.51841632672
normal, will, 4, Match, Yes, 1.1445, 0, 0.0350971085055, 0.563020668904, 0.0876124267099, 7.3743981818, 6.44333611341
normal, loose, 5, Match, Yes, 2.1558, 0, 0.00302113309065, 0.141339389676, 0.100641436337, 9.15819516276, 4.24816548973
normal, your, 4, Select, Yes, 2.1558, 0.0, 0.0163561000262, 0.111511011299, 0.209024910027, 6.77972126944, 3.14487488145
normal, voice, 5, Select, Yes, 1.6752, 0.0, 0.0309735348039, 0.122392346595, 0.237115050661, 12.7096167374, 7.58692498652
normal, the, 3, Select, Yes, 0.9454, 0.0, 0.0168452116867, 0.204308120458, 0.0727344440138, 6.23237546975, 6.59231591892
normal, cream, 5, Select, Yes, 1.6588, 0.0, 0.0161329061797, 0.115710327301, 0.139522886474, 11.1923549394, 6.74726003098
normal, rises, 5, Match, Yes, 1.4431, 0, 0.0269035155525, 0.646928233992, 0.227635293276, 12.8847725708, 8.92853757247
normal, to, 2, Select, Yes, 1.9074, 0.0, 7.24468428979e-06, 0.00549769497153, 0.1469503169, 4.10799694773, 2.15371550159
normal, the, 3, Select, Yes, 0.647, 0.0, 0.0158535362938, 0.181053608111, 0.456790688217, 5.5179258409, 8.52847888856
normal, top, 3, Match, Yes, 0.7299, 0, 0.01915423148, 0.299563551309, 0.28461298369, 5.19085304281, 7.11173180272
normal, take, 4, Select, Yes, 1.4264, 0.0, 0.0893485000556, 0.167425583783, 0.714538671246, 15.9504434501, 11.1823075225
normal, it, 2, Select, Yes, 0.6137, 0.0, 0.0118397717185, 0.149037099623, 0.273582714374, 2.91709726778, 4.75329520577
normal, to, 2, Select, Yes, 0.448, 0.0, 0.00230551181163, 0.354368539148, 0.114789525628, 3.76812976888, 8.4110039484
normal, the, 3, Select, Yes, 0.7119, 0.0, 0.0156652280681, 0.342802339712, 0.327309578351, 5.48999565994, 7.71175117283
normal, recycling, 9, Select, Yes, 2.986, 0.0, 0.130541444634, 0.203206132715, 0.135974900246, 19.9276992085, 6.67371038461
normal, depot, 5, Select, No, 2.0569, 0.0, 0.152119082941, 0.0962296755164, 0.171863268981, 16.5491262586, 8.04566398883
normal, players, 7, Match, No, 2.5216, 0, 0.207397798255, 0.305691799133, 0.48059667644, 22.2986599721, 8.84305995088
normal, must, 4, Match, Yes, 9.3724, 0, 0.00575745484115, 0.591005633707, 0.258155236424, 9.37205596341, 0.999963292583
normal, know, 4, Select, Yes, 2.4051, 0.0, 0.101664048672, 0.576113415671, 0.27224345203, 10.3871895768, 4.31881816837
normal, all, 3, Select, Yes, 0.6967, 0.0, 0.0326894451399, 0.242887702606, 0.181497640321, 7.69101687901, 11.0392089551
normal, the, 3, Select, Yes, 0.8292, 0.0, 0.0107780878206, 0.396787705707, 0.185862489696, 5.9739120273, 7.20442839762
normal, rules, 5, Select, Yes, 1.6258, 0.0, 0.0475126338392, 0.00524541037479, 0.257973880432, 13.9046444841, 8.55249383937
normal, do, 2, Select, Yes, 0.7464, 0.0, 0.00429892026298, 0.127960256244, 0.363131853216, 5.74422102321, 7.69590169241
normal, you, 3, Select, Yes, 0.6801, 0.0, 0.0189036230218, 0.0614457223979, 0.0863241597816, 5.62258562989, 8.26729250094
normal, prefer, 6, Select, Yes, 1.7085, 0.0, 0.0707686905574, 0.117005667132, 0.382146069874, 12.946922216, 7.57794686333
normal, a, 1, Select, Yes, 0.0664, 0.0, 0.0, 0.144155866325, 0.144155866325, 0, 0.0
normal, window, 6, Match, Yes, 2.9693, 0, 0.0800859196459, 0.19479234661, 0.998882286873, 25.5982713687, 8.62097846923
normal, seat, 4, Select, Yes, 1.7419, 0.0, 0.0185094573395, 0.225294775829, 0.0665501333582, 6.09942843497, 3.50159505997
normal, he, 2, Select, Yes, 0.5309, 0.0, 0.0139991153481, 0.0338839074783, 0.14488924936, 3.55142994473, 6.68945177008
normal, cooled, 6, Select, Yes, 2.0902, 0.0, 0.0680762370329, 0.148689009806, 0.380159031261, 15.6342529056, 7.47978801339
normal, off, 3, Match, Yes, 0.6467, 0, 0.0265405559428, 0.269721257468, 0.227763178247, 4.7903005959, 7.4072995143
normal, after, 5, Select, Yes, 2.2224, 0.0, 0.0358988437417, 0.468813671409, 0.0805092670504, 7.88761889272, 3.54914457016
normal, she, 3, Select, Yes, 1.161, 0.0, 0.0243396821113, 0.288410631108, 0.144796746224, 6.86220287873, 5.91059679477
normal, left, 4, Select, Yes, 1.2439, 0.0, 0.0162765528892, 0.155594213344, 0.390626364458, 9.05320784878, 7.27808332565
normal, we, 2, Select, Yes, 0.1825, 0.0, 1.16573417586e-16, 0.143558386188, 0.562045690972, 0.496994945641, 2.72325997612
normal, missed, 6, Match, Yes, 1.5426, 0, 0.0655625041408, 0.0207936963765, 0.306038997009, 11.8746418038, 7.69781006339
normal, your, 4, Select, Yes, 1.758, 0.0, 0.0240014267442, 0.0767212551514, 0.166925991137, 7.68777164364, 4.37302141277
normal, birthday, 8, Select, Yes, 2.7866, 0.0, 0.112624237803, 0.174045870787, 0.355308685607, 20.5025725285, 7.35755850446
normal, learn, 5, Select, Yes, 1.8741, 0.0, 0.0424793257901, 0.26374847377, 0.600291300161, 14.7661138164, 7.87904264253
normal, to, 2, Match, Yes, 0.5969, 0, 0.0140327562641, 0.158304303558, 0.310110435458, 4.21303588848, 7.05819381551
normal, walk, 4, Select, Yes, 2.0729, 0.0, 0.0370877436633, 0.720480847688, 0.248295422785, 10.2237330122, 4.93209176138
normal, before, 6, Select, Yes, 1.6917, 0.0, 0.067840153886, 0.171993620451, 0.254676615307, 16.2621385347, 9.61289740185
normal, you, 3, Select, Yes, 0.9451, 0.0, 0.0149255039452, 0.396709837671, 0.154451005099, 6.25589590245, 6.61929520944
