word, len, perform_time, word_time
parking, 7, 3.98316, 5.3939
lot, 3, 1.54338, 1.44386
is, 2, 0.48167, 2.68887
full, 4, 0.89635, 2.20732
of, 2, 1.61012, 2.34019
trucks, 6, 3.63471, 3.56829
universities, 12, 4.64737, 7.38545
are, 3, 0.58113, 1.54312
too, 3, 0.61445, 1.57658
expensive, 9, 4.01632, 5.41036
traveling, 9, 3.55218, 5.01254
to, 2, 2.82074, 4.04815
conferences, 11, 5.90728, 5.84093
is, 2, 0.76328, 2.37262
fun, 3, 1.19489, 2.32308
please, 6, 1.92517, 3.45175
provide, 7, 5.44274, 6.57105
your, 4, 1.79199, 1.75866
date, 4, 5.82356, 6.83548
of, 2, 8.79413, 6.80294
birth, 5, 5.04451, 2.33976
want, 4, 1.3111, 2.9868
to, 2, 1.7423, 3.0195
join, 4, 3.5675, 3.5014
us, 2, 1.6097, 1.5266
for, 3, 2.6394, 3.6349
lunch, 5, 2.2232, 2.14
rate=15.4721302115, err=0.0740740740741
