word, len, perform_time, word_time
do, 2, 0.978, 0.978
not, 3, 5.351, 6.294
feel, 4, 9.012, 3.893
too, 3, 7.935, 1.226
bad, 3, 1.276, 3.661
about, 5, 5.434, 7.074
it, 2, 9.079, 3.959
medieval, 8, 4.522, 4.522
times, 5, 2.219, 3.379
were, 4, 1.573, 2.534
very, 4, 1.309, 2.551
hard, 4, 14.277, 14.906
the, 3, 3.08, 3.08
force, 5, 5.665, 5.516
is, 2, 2.667, 2.485
with, 4, 1.723, 3.926
you, 3, 1.06, 2.6
rate=10.5808442632, err=0.352941176471
