word, len, perform_time, word_time
we, 2, 0.36532, 0.36532
missed, 6, 1.16227, 2.05863
your, 4, 0.91336, 1.90928
birthday, 8, 2.45717, 3.60256
nothing, 7, 1.92631, 1.92631
wrong, 5, 3.03818, 4.41593
with, 4, 2.10854, 2.02533
his, 3, 0.84868, 1.71199
style, 5, 1.52759, 2.30573
the, 3, 0.69752, 0.69752
library, 7, 2.47366, 3.45297
is, 2, 0.56459, 1.37787
closed, 6, 1.59387, 2.34067
today, 5, 1.59359, 2.43994
are, 3, 0.51488, 0.51488
you, 3, 0.71418, 1.59378
talking, 7, 3.56956, 4.41602
to, 2, 2.42391, 2.34084
me, 2, 1.36178, 1.34507
longer, 6, 1.4943, 1.4943
than, 4, 1.1122, 1.7429
a, 1, 0.0664, 1.8591
football, 8, 1.9921, 3.0046
field, 5, 1.7597, 2.9547
the, 3, 0.5646, 0.5646
facts, 5, 1.1455, 1.9088
get, 3, 0.5646, 1.4938
in, 2, 0.3655, 1.0622
the, 3, 0.5812, 1.2946
way, 3, 0.6641, 1.4108
our, 3, 1.9918, 1.9918
silver, 6, 2.3566, 2.2902
anniversary, 11, 3.269, 4.2816
is, 2, 0.5145, 1.311
coming, 6, 3.9499, 4.8293
nothing, 7, 2.2242, 2.2242
wrong, 5, 29.1903, 3.9985
with, 4, 28.8915, 1.56
his, 3, 27.5638, 1.6759
style, 5, 3.7498, 4.7123
rate=24.2695849223, err=0.0
