word, len, perform_time, word_time
the, 3, 1.855252, 1.855252
sun, 3, 1.84811, 1.76021
rises, 5, 1.53458, 2.49077
in, 2, 0.54541, 1.40167
the, 3, 0.8177, 1.53307
east, 4, 1.12677, 1.81501
the, 3, 2.6944, 2.6944
assignment, 10, 5.08827, 5.01083
is, 2, 0.59041, 1.4265
due, 3, 0.95656, 2.0325
today, 5, 1.78448, 2.7289
just, 4, 1.14963, 1.14963
in, 2, 2.43155, 3.34247
time, 4, 2.33369, 2.27306
for, 3, 1.51002, 2.29587
the, 3, 0.85096, 1.56873
party, 5, 1.57881, 2.50866
rain, 4, 1.38756, 1.38756
rain, 4, 2.6382, 3.8267
go, 2, 1.4481, 1.3713
away, 4, 1.0959, 2.1197
time, 4, 3.0586, 3.0586
to, 2, 1.397, 1.3332
go, 2, 0.5869, 1.5299
shopping, 8, 7.4081, 8.3125
the, 3, 0.9226, 0.9226
cotton, 6, 2.6007, 4.5158
is, 2, 0.7285, 1.6804
high, 4, 1.0647, 2.0635
with, 4, 1.6231, 1.6231
each, 4, 1.5182, 2.7985
step, 4, 1.5201, 2.8663
forward, 7, 4.7664, 5.7434
electric, 8, 3.7928, 3.7928
cars, 4, 1.1759, 2.31
need, 4, 0.8132, 1.6626
big, 3, 0.8217, 2.0156
fuel, 4, 1.7697, 2.8644
cells, 5, 2.0179, 3.341
rate=18.9039368175, err=0.025641025641
