user, technique, word, rank, len, class, correct, gesture_durations, selection_durations, sample_distance, start_distance, end_distance, gesture_length, gesture_speed
gyz, normal, construction, 1, 12, Match, Yes, 4.4633, 0, 1.1200565561, 0.133463939587, 0.356081383535, 32.2326638094, 7.22171124714
gyz, normal, makes, 2, 5, Select, Yes, 2.0742, 2.6715, 1.22791312049, 0.39554145217, 0.416132746586, 20.0747926106, 9.67833025291
gyz, normal, traveling, 1, 9, Match, Yes, 4.2811, 0, 1.44466758653, 0.197445004677, 0.256374546266, 23.4487723709, 5.4772774219
gyz, normal, difficult, 1, 9, Match, Yes, 3.4175, 0, 1.03265573848, 0.966612752101, 0.167509667163, 25.6448039555, 7.50396604403
gyz, normal, my, 1, 2, Match, Yes, 0.5974, 0, 0.784181988777, 0.348554405584, 0.192358301971, 2.58477504235, 4.32670746962
gyz, normal, favorite, 1, 8, Match, Yes, 3.1855, 0, 0.790211801499, 0.143013849357, 0.0382099756739, 26.3961651823, 8.28634913902
gyz, normal, subject, 1, 7, Match, Yes, 2.837, 0, 1.60381113572, 0.114510432101, 0.125163206175, 17.4418695044, 6.1479977104
gyz, normal, is, 1, 2, Match, Yes, 0.647, 0, 0.815000765811, 0.11939438135, 0.217175272628, 5.91686409439, 9.14507588004
gyz, normal, psychology, 1, 10, Match, Yes, 4.5465, 0, 2.90651564437, 0.50854764571, 0.0672775404574, 27.6581815058, 6.08340074911
gyz, normal, people, 1, 6, Match, Yes, 2.1572, 0, 1.22839162586, 0.0512679212081, 0.245671127447, 23.3163489097, 10.8086171471
gyz, normal, blow, 1, 4, Match, Yes, 2.0579, 0, 0.609448001899, 0.249325576668, 0.0661269879626, 11.6954330509, 5.68318822628
gyz, normal, their, 1, 5, Match, Yes, 1.9084, 0, 0.753967889187, 0.118232660873, 0.112827161136, 15.5447229632, 8.14542180002
gyz, normal, horn, 1, 4, Match, Yes, 1.61, 0, 0.566630489184, 0.240685089659, 0.35604010413, 11.9053813255, 7.39464678605
gyz, normal, a, 1, 1, Match, Yes, 0.0497, 0, 0.58385371967, 0.224100851174, 0.224100851174, 0, 0.0
gyz, normal, lot, 1, 3, Match, Yes, 0.8629, 0, 0.603360923318, 0.246962817535, 0.173283258386, 5.15261297915, 5.97127474695
gyz, normal, it, 1, 2, Match, Yes, 0.4978, 0, 1.10497339639, 0.219327344342, 0.395365824735, 3.21904165093, 6.46653606053
gyz, normal, is, 1, 2, Match, Yes, 0.7465, 0, 0.464564399861, 0.125504215041, 0.0967852455904, 5.65067801595, 7.56956197716
gyz, normal, difficult, 1, 9, Match, Yes, 3.8989, 0, 1.31069739819, 0.0917683031607, 0.25184192698, 29.3845395901, 7.53662304498
gyz, normal, to, 1, 2, Match, Yes, 0.6966, 0, 0.664289199735, 0.279798020668, 0.362999893251, 3.50192453096, 5.02716699822
gyz, normal, concentrate, 1, 11, Match, Yes, 4.5952, 0, 2.55399445497, 0.236288028891, 0.209059977198, 33.5613778308, 7.30357282182
gyz, normal, elephants, 1, 9, Match, Yes, 3.8161, 0, 0.915094627753, 0.219956998457, 0.127515683902, 40.9861700539, 10.740329146
gyz, normal, are, 1, 3, Match, Yes, 0.6139, 0, 0.616158890913, 0.253530885339, 0.239706587204, 3.07525024372, 5.00936674331
gyz, normal, afraid, 1, 6, Match, Yes, 2.4054, 0, 0.99360666209, 0.171026535909, 0.155953815118, 16.2519306531, 6.75643579158
gyz, normal, of, 1, 2, Match, Yes, 0.4977, 0, 1.04847227264, 0.601218298229, 0.355205591917, 3.76692395508, 7.56866376346
gyz, normal, mice, 1, 4, Match, Yes, 1.4444, 0, 1.71162795609, 0.27393098483, 0.23082202519, 9.08386206224, 6.28902108989
gyz, normal, destruction, 1, 11, Match, Yes, 4.131, 0, 0.760903137064, 0.0323334712643, 0.364870480659, 23.0565145867, 5.58133976923
gyz, normal, of, 1, 2, Match, Yes, 0.6803, 0, 0.685161648339, 0.153472598212, 0.390348229544, 4.60774045589, 6.77310077302
gyz, normal, the, 1, 3, Match, Yes, 1.0951, 0, 0.304874930058, 0.247779727429, 0.0340052000288, 5.58321209813, 5.09835823041
gyz, normal, rain, 1, 4, Match, Yes, 1.8249, 0, 0.729961511762, 0.256636116657, 0.104910207211, 12.1875529914, 6.67847717214
gyz, normal, forest, 1, 6, Match, Yes, 2.1071, 0, 0.962612707708, 0.226445024344, 0.604731888576, 14.7271870104, 6.98931565202
gyz, normal, my, 1, 2, Match, Yes, 0.6638, 0, 0.955005662032, 0.162270211022, 0.287282144416, 2.96991734171, 4.4741147058
gyz, normal, preferred, 2, 9, Select, Yes, 3.5009, 2.1899, 1.77722206429, 0.521751958498, 0.159207640979, 15.2902423379, 4.36751759203
gyz, normal, treat, 1, 5, Match, Yes, 3.1187, 0, 0.818145458456, 0.209428328287, 0.13365676663, 7.41689582401, 2.37820111713
gyz, normal, is, 1, 2, Match, Yes, 0.7301, 0, 0.481419222734, 0.234905940751, 0.380110832619, 5.8698139647, 8.03973971332
