user, technique, session, word, len, class, correct, dwell_duration, gesture_durations, selection_durations, sample_distance, start_distance, end_distance, gesture_length, gesture_speed
gyz, normal, 7, for, 3, Match, Yes, 0.995, 0.946, 0, 0.285984155616, 0.0910277090616, 0.345277829617, 10.6431147092, 11.2506497983
gyz, normal, 7, low, 3, Match, Yes, 1.045, 1.012, 0, 0.394244420134, 0.434261617274, 0.132140875561, 7.84064826552, 7.7476761517
gyz, normal, 7, flying, 6, Match, Yes, 0.631, 1.891, 0, 0.553586506897, 0.292025458693, 0.382969100717, 18.2134843708, 9.63166809668
gyz, normal, 7, objects, 7, Match, Yes, 1.129, 1.958, 0, 0.353229886119, 0.718591447347, 0.281441547333, 13.715562902, 7.00488401535
gyz, normal, 7, time, 4, Match, Yes, 0, 1.344, 0, 0.330893653667, 0.0317379572437, 0.0527214638074, 10.819465591, 8.05019761232
gyz, normal, 7, to, 2, Match, Yes, 0.614, 0.481, 0, 0.210588849783, 0.553886154355, 0.0483828697991, 3.82778933737, 7.95798199038
gyz, normal, 7, go, 2, Match, Yes, 0.879, 0.498, 0, 0.328436063216, 0.291965993122, 0.452161704626, 3.71090609924, 7.45161867317
gyz, normal, 7, shopping, 8, Match, Yes, 1.029, 2.571, 0, 0.283946151062, 0.122538161587, 0.256956297594, 14.3748451396, 5.59114941252
gyz, normal, 7, elephants, 9, Match, Yes, 0, 2.671, 0, 0.835742997495, 0.369414771509, 0.758057348556, 41.2413258403, 15.4404065295
gyz, normal, 7, are, 3, Match, Yes, 0.315, 0.498, 0, 0.430623513619, 0.194777103278, 0.33658893185, 3.56382881167, 7.15628275435
gyz, normal, 7, afraid, 6, Match, Yes, 0.63, 1.709, 0, 0.340373517195, 0.0631386678748, 0.349542045696, 17.9771804977, 10.5191225849
gyz, normal, 7, of, 2, Match, No, 0.847, 0.381, 0, 0.353793111219, 0.303890053226, 0.509691904245, 4.84149184359, 12.7073276735
gyz, normal, 7, mice, 4, Select, Yes, 0.647, 0.78, 1.311, 0.453867747437, 0.553116987962, 0.752041888371, 8.24459652501, 10.5699955449
