technique, size, speed, word, len, class, correct, gesture_durations, selection_durations, sample_distance, start_distance, end_distance, gesture_length, gesture_speed
normal, 0.6, 2.0, home, 4, Match, Yes, 2.405, 0, 0.168948233794, 0.117241076633, 0.190478459811, 10.4984139598, 4.36524488972
normal, 0.6, 2.0, before, 6, Match, Yes, 3.335, 0, 0.161511854483, 0.191279304835, 0.177091992199, 16.7606256159, 5.02567484733
normal, 0.6, 2.0, midnight, 8, Match, Yes, 4.628, 0, 0.354765645883, 0.506899207095, 0.289106543828, 17.686475137, 3.82162384119
normal, 0.6, 2.0, be, 2, Match, Yes, 1.128, 0, 0.240674759898, 0.203690396926, 0.45793549934, 3.22645950807, 2.86033644333
normal, 0.6, 2.0, persistent, 10, Match, Yes, 6.402, 0, 0.628230403034, 0.287314412066, 0.225383496721, 34.0505353858, 5.31873404964
normal, 0.6, 2.0, to, 2, Match, Yes, 10.665, 0, 0.103857617092, 0.189117320159, 0.165641361525, 4.37962497264, 0.410654005873
normal, 0.6, 2.0, win, 3, Match, Yes, 14.711, 0, 0.240527861138, 0.134315691269, 0.067822820422, 8.64423453845, 0.587603462609
normal, 0.6, 2.0, a, 1, Match, No, 0.133, 0, 0.337287590966, 0.214267009773, 0.460751752905, 0.248286389869, 1.86681496142
normal, 0.6, 2.0, strike, 6, Match, Yes, 3.947, 0, 0.180291365445, 0.234527616745, 0.305565256705, 13.8721917844, 3.51461661625
normal, 0.6, 2.0, what, 4, Match, Yes, 2.554, 0, 0.245328730927, 0.100715854561, 0.210666526874, 13.7530286134, 5.38489765598
normal, 0.6, 2.0, to, 2, Match, Yes, 1.244, 0, 0.320455834059, 0.185579895641, 0.556167494236, 4.79055284633, 3.85092672535
normal, 0.6, 2.0, do, 2, Select, Yes, 0.945, 2.703, 0.23221077726, 0.334200071545, 0.359847330468, 4.94589092382, 5.23374700933
normal, 0.6, 2.0, when, 4, Select, Yes, 4.727, 2.122, 0.781049087115, 0.885885994963, 0.0563253498347, 13.8709631035, 2.93441148795
normal, 0.6, 2.0, the, 3, Select, Yes, 3.699, 1.476, 0.217230796822, 0.0720276438737, 0.356061202314, 5.58132704706, 1.50887457342
normal, 0.6, 2.0, oil, 3, Select, Yes, 3.416, 2.123, 0.316711517362, 0.496666893094, 0.495949280943, 2.31354537781, 0.677267382262
normal, 0.6, 2.0, runs, 4, Match, Yes, 3.88, 0, 0.387222638203, 0.0849231225286, 0.273911158477, 12.1774917244, 3.13852879494
normal, 0.6, 2.0, dry, 3, Match, Yes, 1.194, 0, 0.243893241818, 0.328733922564, 0.304110613804, 3.34606314675, 2.80239794536
normal, 0.6, 2.0, an, 2, Match, Yes, 1.376, 0, 0.173022910369, 0.101920695013, 0.123188113392, 5.69019943022, 4.13531935336
normal, 0.6, 2.0, airport, 7, Match, Yes, 4.727, 0, 0.651485717345, 0.0705242286381, 0.605121340292, 28.2432286982, 5.97487385195
normal, 0.6, 2.0, is, 2, Match, Yes, 1.492, 0, 0.0899999310964, 0.127468465002, 0.14466207408, 5.49698528617, 3.68430649207
normal, 0.6, 2.0, a, 1, Match, Yes, 0.0829999999999, 0, 0.214383236434, 0.214383236434, 0.214383236434, 0, 0.0
normal, 0.6, 2.0, very, 4, Match, Yes, 1.41, 0, 0.258812789091, 0.41840443439, 0.12981183911, 6.04173982929, 4.28492186475
normal, 0.6, 2.0, busy, 4, Match, Yes, 11.458, 0, 0.134103561129, 0.0659153553961, 0.14760631727, 9.76480062846, 0.852225574137
normal, 0.6, 2.0, place, 5, Match, Yes, 4.179, 0, 0.239790810799, 0.472955255881, 0.295969672637, 13.9796707383, 3.34521912858
normal, 0.6, 2.0, yes, 3, Match, Yes, 1.41, 0, 0.335907912233, 0.2949140409, 0.124501126774, 4.25615177942, 3.01854736129
normal, 0.6, 2.0, you, 3, Match, Yes, 1.443, 0, 0.104833146103, 0.163561233686, 0.027542801673, 5.36005082968, 3.71451893949
normal, 0.6, 2.0, are, 3, Match, Yes, 1.294, 0, 0.616518935068, 0.344745489685, 0.66070098504, 5.30274964873, 4.09795181509
normal, 0.6, 2.0, very, 4, Match, Yes, 1.873, 0, 0.258706122473, 0.289454746812, 0.474662283366, 5.38761367807, 2.87646218797
normal, 0.6, 2.0, smart, 5, Match, Yes, 3.417, 0, 0.237886912991, 0.0912189441947, 0.21591831049, 17.0454861195, 4.98843608999
normal, 0.6, 2.0, are, 3, Match, Yes, 1.261, 0, 0.121842922241, 0.236724534449, 0.116257794737, 3.88584231478, 3.08155615764
normal, 0.6, 2.0, you, 3, Match, Yes, 1.575, 0, 0.185418377586, 0.256883638218, 0.290515559434, 5.5290597982, 3.51051415759
normal, 0.6, 2.0, talking, 7, Match, Yes, 3.499, 0, 0.304727679287, 0.276178787368, 0.186406309574, 19.5427524442, 5.58523933816
normal, 0.6, 2.0, to, 2, Match, Yes, 0.796, 0, 0.1403133759, 0.112159625552, 0.248952637473, 4.2661496796, 5.35948452211
normal, 0.6, 2.0, me, 2, Select, Yes, 0.929, 1.774, 0.291864941901, 0.181077832705, 0.51245673951, 5.6187591551, 6.04817993014
normal, 0.6, 2.0, the, 3, Match, Yes, 1.642, 0, 0.257829797985, 0.0279733561269, 0.260622235116, 5.89665270591, 3.59114050299
normal, 0.6, 2.0, price, 5, Match, Yes, 3.863, 0, 0.445774905642, 0.249808604111, 0.052165872158, 18.4441862529, 4.77457578381
normal, 0.6, 2.0, of, 2, Match, Yes, 1.294, 0, 0.36565602011, 0.0650983706401, 0.147062989406, 5.26931097939, 4.07211049412
normal, 0.6, 2.0, gas, 3, Match, Yes, 1.311, 0, 0.34916579983, 0.190968285925, 0.353214544621, 6.282630625, 4.79224303966
normal, 0.6, 2.0, is, 2, Match, Yes, 1.028, 0, 0.142047863564, 0.12030634642, 0.326863686181, 5.66100037485, 5.50680970316
normal, 0.6, 2.0, high, 4, Match, Yes, 1.758, 0, 0.379896829081, 0.415723569871, 0.174005269555, 6.49106989531, 3.69230369471
normal, 0.8, 2.0, accompanied, 11, Select, Yes, 8.278, 2.239, 1.02634461075, 0.0818936847687, 0.257978140727, 36.4940471224, 4.40855848302
normal, 0.8, 2.0, by, 2, Match, Yes, 3.202, 0, 0.366256656935, 0.540620147576, 0.397788106796, 2.49661259417, 0.779704120602
normal, 0.8, 2.0, an, 2, Match, Yes, 1.277, 0, 0.161820198499, 0.427949544452, 0.250009780475, 5.62352383151, 4.40369916328
normal, 0.8, 2.0, adult, 5, Match, Yes, 3.318, 0, 0.378932346818, 0.214860019196, 0.272427824607, 15.3966392079, 4.64033731402
